,名稱,分類,劇情介紹,上映日期
0,歡樂好聲音2,"['動畫', '音樂/歌舞', '喜劇']","今年年底佳節，照明娛樂全球賣座動畫電影系列的全新篇章即將展開，有更偉大的夢想和更多超夯流行金曲。野心勃勃的無尾熊巴斯特穆恩，以及他旗下的全明星動物藝人，即將呈獻史上最華麗耀眼的舞台大秀…而且是在絢爛奪目的世界娛樂之都舉行。但是有一個難關：他們必須先說服全世界最孤僻的搖滾巨星－由音樂傳奇人物波諾首度為動畫片獻聲演出－加入他們的表演行列。
巴斯特（金獎影帝馬修麥康納 配音）以及他旗下的藝人將他的新穆恩劇院，轉變成當地最火紅的表演場地，但是他現在有一個更大的野心，那就是在光芒萬丈的紅灘市的克里斯托塔劇院，舉辦一場全新歌舞大秀的首演會。
完全沒有任何娛樂圈的人脈可言，巴斯特和他旗下的藝人－包括總是憂心忡忡的豬媽媽蘿希坦（金獎影后瑞絲薇斯朋 配音）、搖滾女豪豬愛希（史嘉蕾喬韓森 配音）、認真努力的大猩猩強尼（泰隆艾格頓 配音）、內向害羞的大象米娜（托蕾凱莉 配音），當然還有愛現豬仔剛特（尼克克羅爾 配音）－必須偷偷溜進由一匹冷血無情的娛樂大亨野狼吉米克里斯托（艾美獎得主巴比卡納佛 配音）一手打造經營，舉世聞名的克里斯托娛樂公司的辦公室。
 
為了得到克里斯托先生的注意被逼到狗急跳牆的剛特，突然靈光一閃，給了巴斯特一個超浮誇的點子，巴斯特也逼不得已採用了這個點子，那就是向克里斯托先生掛保證，他們全新的歌舞大秀將由傳奇搖滾獅子歌王柯雷卡洛威（波諾 配音）領銜主演。但問題是，巴斯特從來沒見過柯雷，而且這名傳奇搖滾歌王早就在十幾年前，因為痛失愛妻從音樂界引退，獨自隱居了十幾年，再也沒有人見過他。
 
當剛特正在幫助巴斯特設計出一場舉世無雙的舞台歌舞秀經典傑作，來自克里斯托先生的壓力（以及可怕的威脅）也越來越大，巴斯特就展開一場尋找傳奇搖滾獅子歌王柯雷卡洛威的大冒險，希望能夠說服他重返舞台。原本只是巴斯特想要揚名立萬的春秋大夢，卻轉變成一個現代寓言，提醒了每一個人，音樂的力量強大到足以療癒一顆最悲傷破碎的心。
 
【關於電影】
 
《歡樂好聲音2》一片由知名導演葛斯詹寧斯回鍋擔任編劇及導演，除了波諾和巴比卡納佛負責配音的全新角色以外，其他全新角色的配音演員還包括樂壇超級巨星菲董和海爾希，《黑豹》女星莉蒂西亞萊特，以及喜劇演員艾瑞克安德烈和雀兒喜柏瑞蒂。
 
這部動畫喜劇歌舞片的製片則是具有獨到遠見的照明娛樂創辦人和執行長克里斯梅勒丹德利，以及珍妮特希利。《歡樂好聲音2》一片融合了幾十首經典搖滾及流行超夯金曲、火花四射的精采表演、美得令人屏息的華麗舞台，以及照明娛樂招牌的搞笑風格和暖心故事，將會是今年底最激勵人心且看完心情愉悅的電影。
 
          ",2021-12-31
1,黑寡婦,"['動作', '冒險']","漫威影業2020年的首部重頭戲，是粉絲請求多時，終於實現的《黑寡婦》個人電影，黑寡婦在漫威電影宇宙中舉足輕重，10多年來參與了7部電影。現在，娜塔莎羅曼諾夫，也就是大家所熟知的黑寡婦，終於踏上個人的旅程，讓粉絲看到她不為人知的一面。
 
故事時間點設定在《美國隊長 3 : 英雄內戰》之後，娜塔莎因為幫助了美國隊長而踏上流亡之路，當她發現一個與過去有關的陰謀時，她必須全球追蹤，回頭面對她神祕的間諜生涯，同時逃過反派「模仿大師」的追殺。
          ",2021-07-14
2,兔嘲男孩,"['劇情', '喜劇']","★榮獲本屆多倫多影展觀眾票選大獎及導演大獎  強勢問鼎奧斯卡
★諷刺喜劇鬼才大導塔伊加維迪提 自編自導自演 顛覆想像諷刺全新大作
★「黑寡婦」史嘉蕾喬韓森、「胖艾美」瑞貝威爾森眾星齊聚爆笑衝撞「國家機器」 
 
一個10歲的小男孩在大時代的動盪下，他要面對…
國家機器的操弄、意識型態的禁錮、家庭信仰的衝突…
他的小腦袋開始錯亂
他要釐出個真理
他要找到他的生存之道
所以…
他要…
吐嘲這個世界、吐嘲他的信仰、吐嘲他的親友
雖然他膽子如兔子般的小
但他卻有著想與世界爭論的吐嘲決心
他是 「兔嘲男孩」
 
好萊塢另類鬼才導演—塔伊加維迪提，聯手福斯探照燈推出二戰黑色幽默諷刺大作。喬喬（羅曼格里芬戴維斯 飾） 身為一個希特勒青年團學員，除了滿腔愛國熱血外，還有個神秘的幻想好友，只是他長的竟然和元首—阿道夫希特勒一樣！
 
某天當他赫然發現母親（史嘉蕾喬韓森 飾）竟然在家私藏一名猶太少女時，而這名陌生的猶太人並沒有像青年團教官們說的那麼糟糕，喬喬心中的價值觀陷入一片混亂，他只能靠著他那幻想神秘好友，幫助他面對那盲目的愛國情操。
          ",2020-01-03
3,復仇者聯盟：終局之戰,"['動作', '冒險']","復仇者聯盟系列最終章！
灰飛煙毀後的世界該如何走下去，是否還有逆轉結局的機會？一切都將在此揭曉。
          ",2019-04-24
4,犬之島,['動畫'],"★ 繼金獎提名定格動畫《超級狐狸先生》 鬼才導演威斯安德森再推全新力作
★ 金獎提名大導威斯安德森自編自導新作《犬之島》向黑澤明致敬
★ 力邀4位金獎得主6位金獎提名堪稱年度最豪華配音陣容 美、日大咖跨海齊力獻聲！
 
《犬之島》描述的是一位12歲男孩小林中，為了自己的愛犬不顧一切挺身而出，反抗腐敗的小林市長，同時也是自己父親的故事。故事背景設定於距今20年後的日本群島，因犬隻的數量激增達到飽和程度，加上犬流感的大肆蔓延，按照巨崎市政府所公告的行政法令，所有的犬類動物都必須被流放到一個名叫「犬之島」的垃圾場。就在此時，小林中獨自坐上了一架微型螺旋飛機、飛越河流，只為了要尋找他的保鑣，同時也是他最好的愛犬朋友—「斑點」。在飛行的旅行上，小林中認識了一群毛茸茸的新「犬」友，並幸運地獲得了他們的幫助，他將展開一場史詩般的旅程，而他所走的每一步，也將決定了整個城市的命運與未來。
 
          ",2018-06-01
5,復仇者聯盟：無限之戰,"['動作', '冒險']","一部集漫威電影宇宙10年之大成的宏偉鉅作，《復仇者聯盟3：無限之戰》將帶來前所未見，最極致、最致命的存亡對決。復仇者聯盟和他們的超級英雄盟友們必須要不顧一切攜手合作才有可能組止最強的終極反派薩諾斯將整個宇宙毀滅。
          ",2018-04-25
6,女狼嗨到趴,['喜劇'],"限制級電影《女狼嗨到趴》描述五位大學閨蜜死黨 – 由史嘉蕾喬韓森、凱特麥金儂、吉莉安貝爾、愛蓮娜葛萊瑟、柔伊克拉維茲飾演，在一次單身趴重新聚首，她們在邁阿密海邊租了別墅準備渡過瘋狂週末，怎知卻變了調。正當她們以為一切已無挽回之餘地，事情的發展卻越來越超乎她們所想像。
 
由哥倫比亞影業與LStar Capital聯手推出，製片人麥特托馬克及Paulilu製作公司聯合出品的《女狼嗨到趴》，由史嘉蕾喬韓森、凱特麥金儂、吉莉安貝爾、愛蓮娜葛萊瑟、柔伊克拉維茲及保羅當恩斯主演。導演為露西亞阿尼洛；製片為麥特托馬克、露西亞阿尼洛、保羅當恩斯及戴夫貝奇；編劇為露西亞阿尼洛及保羅當恩斯；馬修赫希及班威斯布瑞擔任監製；攝影為尚恩波特；藝術總監為鮑伯蕭；剪接為克雷格艾爾帕特；服裝造型為莉亞凱茲尼爾森；音樂總監為多明尼克路易斯。
          ",2017-07-20
7,攻殼機動隊,"['動作', '劇情', '犯罪']","★改編自士郎正宗所創作的日本同名漫畫為了對抗如生化人與網路駭客的新型態犯罪事件而成立的公安九課與其生化人隊長草薙素子的故事。這次他們必須面對一個企圖摧毀「漢卡精密工業」網路科技發展的全新敵人。
          ",2017-03-30
8,歡樂好聲音,"['喜劇', '動畫', '音樂/歌舞']","《歡樂好聲音》一片的故事發生在和現實生活一模一樣的世界，只是這個世界的居民全都是動物，故事的主角是巴斯特穆恩（馬修麥康納 配音），他是一隻風度翩翩、口若懸河的無尾熊，曾經經營一家金碧輝煌、高朋滿座的劇場，但是現在卻窮途潦倒、門可羅雀。巴斯特永遠都是這麼開朗樂觀，充滿了正能量，但是有些人卻認為他根本就是在自欺欺人，不肯面對現實，不過他仍然熱愛他的劇場，而且為了不讓劇場關門倒閉，不管做什麼他都願意。但是當他的熱誠和野心即將受到致命打擊的時候，他只剩最後一次機會讓他的劇場再度成為藝能界最高的殿堂，他必須舉辦一場全世界最盛大的歌唱選秀大賽。經過競爭激烈的海選、初選、複賽、淘汰賽以及導師終極考核賽之後，晉級總決賽的五位選手終於出爐： 麥可（塞斯麥克法蘭 配音），一隻歌唱技巧和詐欺技巧一樣高竿的老鼠；米娜（托蕾凱莉 配音），一頭超膽小又超會怯場的大象；蘿希坦（瑞絲薇斯朋 配音），一個必須照顧25隻小豬仔累到快花轟的豬媽媽；強尼（泰隆艾格頓 配音），一隻在黑道家族長大的年輕大猩猩，希望能趁這個機會脫離他的犯罪家族；以及愛希，一隻參加龐克樂團的豪豬，她一心想擺脫她那狂妄自大的男友，展開單飛的歌唱生涯。當這五位選手終於站上巴斯特的劇場舞台，他們都相信這將是改變他們一生的最好機會，巴斯特也在巔峰對戰總決賽愈來愈接近之前，一一地悉心指導這五位選手，而在這個過程中他開始發現，也許該拯救的不只是他的劇場而已。《歡樂好聲音》堅強的配音陣容還包括替艾迪的阿嬤娜娜配音的珍妮佛珊德絲（《小小兵》）；替年輕時期的娜娜幕後代唱的金獎得主珍妮佛哈德森（《夢幻女郎》）；替強尼的老爸大老爹配音的彼得塞拉菲諾威茨（《麻辣賤諜》）；替蘿希坦的超猛舞伴剛特配音的尼克克羅爾（《腸腸搞轟趴》）；替米娜阿公配音的傑法羅（《週六夜現場》）以及替米娜老媽配音的萊絲莉瓊斯（《魔鬼剋星》）；替蘿希坦老公諾門配音的尼克奧佛曼（《樂高玩電影》）；以及替愛希的男友蘭斯配音的貝克班尼特（《週六夜現場》）。《歡樂好聲音》一片中共有超過65首暢銷金曲，製片是克里斯梅勒丹德利以及他的長期合作夥伴珍妮特希利，自從照明娛樂創辦以來，他們共同製作該公司所有的電影作品。照明娛樂的幕後製作團隊再次回歸，包括剪接師葛雷格萊波勒（《神偷奶爸》系列）、美術指導兼角色設計師艾瑞克貴隆（《小小兵》、《寵物當家》）、共同導演克里斯多夫羅德勒特（《神偷奶爸2》），以及動畫總監派屈克戴拉吉（《瓦力》）和皮耶勒達克（《神偷奶爸》系列、《寵物當家》）。全新加入照明娛樂大家庭的工作人員則包括配樂師喬比托伯（《真愛之吻》）、執行音樂製作人小哈維梅森以及音樂總監喬喬維拉紐瓦（《老闆不是人2》）。照明娛樂製作的電影《神偷奶爸》、《羅雷司》、《神偷奶爸2》以及影史第二賣座的動畫片《小小兵》廣受全球觀眾喜愛，繼今年暑期檔的賣座喜劇動畫片《寵物當家》之後，照明娛樂即將在今年年底耶誕節檔期推出全新喜劇動畫片《歡樂好聲音》。《歡樂好聲音》一片中有能夠引起觀眾共鳴的角色，以及感動人心的劇情和讓人捧腹大笑的笑哏，本片是編劇兼導演葛斯詹寧斯（《開拍吧！第二滴血》、《星際大奇航》）首度和照明娛樂創辦人及執行長克里斯梅勒丹德利合作，這也是照明娛樂製作的第六部動畫長片。這部備受期待的喜劇動畫片擁有堅強配音演員陣容，包括金獎得主馬修麥康納（《藥命俱樂部》）以及瑞絲薇斯朋（《為你鍾情》），加上塞斯麥克法蘭（《熊麻吉》）、史嘉蕾喬韓森（《復仇者聯盟》系列電影）、約翰萊利（《無敵破壞王》）、泰隆艾格頓（《金牌特務》）以及曾獲葛萊美獎提名的創作女歌手托蕾凱莉。
          ",2016-12-09
9,美國隊長3：英雄內戰,"['動作', '冒險']","接續電影《復仇者聯盟:奧創紀元》的故事情節，在《美國隊長3:英雄內戰》中美國隊長­繼續帶領著復仇者們保護世界的和平。然而在某次的任務中，意外造成無辜生命的犧牲，使得美國隊長和鋼鐵人對於超級英雄是否­應該被政府管制的看法出現嚴重歧異，進而導致復仇者聯盟的分裂。
          ",2016-04-27
